 text class_label
0 "Drasko they didn't cook half a bird you idiot #mkr" racism
1 "Hopefully someone cooks Drasko in the next ep of #MKR" racism
3 "of course you were born in serbia...you're as fucked as A Serbian Film #MKR" racism
4 "These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR" racism
5 "RT @YesYoureRacist: At least you're only a tiny bit racist RT @AnMo95: I'm not racist, but my dick is!" racism
6 "@MisfitInChains @oldgfatherclock @venereveritas13 SANTA JUST *IS* WHITE" racism
7 "RT @Dreamdefenders: Eric Holder from #ferguson: ""I understand that mistrust. I am the Attorney General, but I am also a Black Man"" http://t…" racism
8 "RT @AntonioFrench: I spent the morning at the Board of Elections getting maps/data to start registering every black person in #Ferguson. ht…" racism
9 "RT @harikondabolu: In his #Ferguson testimony, Darren Wilson said he thought ""it looks like a demon"" before he shot Mike Brown. Ironic word…" racism
10 """He can't be a server at our restaurant, that beard makes him look like a terrorist."" Everyone laughs. #fuckthanksgiving" racism
11 "@GarrettaBrown85 @5Candrew Why do people even talk about white privilege when the majority of food stamp recipients are white people!!" racism
12 "These two are revolting #MKR #MKR2015" sexism
14 "#katieandnikki stop calling yourselves pretty and hot..you're not and saying it a million times doesn't make you either...STFU #MKR" sexism
15 "The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl I guess #MKR" sexism
16 "Wish these blondes were in that How To Get Away With Murder show....#MKR" sexism
17 "Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens #MKR" 
18 "Not dumb blondes...mmm...perhaps just delusions of adequacy? #MKR" 
19 "Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!!!! #mkr" sexism
20 "@mykitchenrules The Sassy Foods feeling http://t.co/TtqS1N27OL #MKR2015 #MKR these girls are vile people #KillerBlondes #basichotdog #nobun" sexism
21 "#mkr Omg there restaurant looks like a a little girls room oh my! Gosh" sexism
23 "I think they're deconstraucted Pro . . . mowhores #MKR" sexism
24 "My deconstructed tart joke from the last season of #MKR http://t.co/10LPgtdopB" 
25 "Ash found her inner bogun #whistle #fingersinthemouth Ewwww #MKR" 
26 "Nikki...Kermit the frog called and he wants his voice back #MKR #MKR2015 #KillerBlondes @mykitchenrules" sexism
28 "There's more moisture in those spatchcocks than the #killerblondes #MKR" sexism
29 "The face of very ugly promo girls ! Faces like cats arsehole #mkr excited to see them@go down tonight...literally http://t.co/HgoJrfoIeO" sexism
30 "@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy" 
31 "Sorry #killerblondes but you are a long LONG way from refined. #mkr" sexism
33 "Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR" sexism
34 "its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR" 
